DTYYYYMMDD,Open,High,Low,Close,Vol
20150327,1.21703,1.22184,1.21689,1.2214,10458.0
20150328,1.22138,1.22283,1.22082,1.22128,10840.0
20150329,1.22127,1.2229,1.22055,1.22073,8464.0
20150330,1.22075,1.22224,1.21908,1.22132,9101.0
20150331,1.22133,1.2258,1.22117,1.22534,8790.0
20150401,1.22534,1.22713,1.22469,1.22568,9766.0
20150402,1.22568,1.22617,1.22321,1.22511,14369.0
20150403,1.2251,1.22934,1.22481,1.22892,15249.0
20150404,1.22894,1.22992,1.22615,1.22776,20361.0
20150405,1.22777,1.22847,1.22556,1.2261,12598.0
20150406,1.22613,1.22703,1.22452,1.22614,7597.0
20150407,1.22613,1.22674,1.22574,1.22605,5226.0
20150408,1.22605,1.22847,1.22591,1.22734,6402.0
20150409,1.22735,1.22817,1.22717,1.2278,6052.0
20150410,1.22781,1.22906,1.22762,1.22864,1403.0
20150411,1.22842,1.22872,1.22701,1.228,331.0
20150412,1.22801,1.22862,1.22717,1.22821,1230.0
20150413,1.22821,1.22821,1.22675,1.22707,3724.0
20150414,1.22707,1.2284,1.22692,1.22834,4842.0
20150415,1.22834,1.22893,1.22528,1.22714,9054.0
20150416,1.22717,1.22887,1.22588,1.22668,7860.0
20150417,1.22669,1.22843,1.22619,1.22815,4892.0
20150418,1.22815,1.22868,1.22679,1.22816,5452.0
20150419,1.22817,1.22954,1.22806,1.22852,6958.0
20150420,1.22871,1.23346,1.22848,1.2314,14325.0
20150421,1.2314,1.23395,1.23096,1.23378,13790.0
20150422,1.23378,1.23627,1.23224,1.23581,12644.0
20150423,1.23581,1.23603,1.23364,1.23478,10535.0
20150424,1.23478,1.23881,1.23433,1.23714,9587.0
20150425,1.23713,1.23762,1.23517,1.23687,9973.0
20150426,1.23686,1.24205,1.23648,1.23941,17890.0
20150427,1.2394,1.24349,1.23853,1.24107,21907.0
20150428,1.24104,1.24158,1.23832,1.23931,18083.0
20150429,1.23932,1.23932,1.23517,1.23669,13101.0
20150430,1.23669,1.23671,1.23303,1.23446,11663.0
20150501,1.23447,1.23474,1.23274,1.23358,8767.0
20150502,1.23359,1.2343,1.23264,1.23402,7266.0
20150503,1.23403,1.23418,1.23315,1.23372,6442.0
20150504,1.23372,1.23453,1.23354,1.23441,1593.0
20150505,1.2344,1.23457,1.23394,1.23429,528.0
20150506,1.2343,1.23477,1.23402,1.23457,994.0
20150507,1.23457,1.23485,1.23186,1.23198,5808.0
20150508,1.23197,1.23357,1.23177,1.23355,6405.0
