Datetime,Open,High,Low,Close,Vol,spread,real_volume,Ask,Bid,Current_Spread,EMA_50,EMA_200,RSI,MACD,MACD_Signal,ATR,Candle_Body,Upper_Shadow,Lower_Shadow,Tenkan_Sen,Kijun_Sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span_Rel
2026-01-12 03:25:00,1.34387,1.34392,1.3435000000000001,1.34358,434,9,0,1.36814,1.36805,8.999999999992347e-05,1.3413671806157184,1.3412616945538596,73.05936073059486,0.0009557578116061727,0.0008602285357733033,0.0005700000000000229,0.00028999999999990145,5.0000000000105516e-05,7.999999999985796e-05,1.3434599999999999,1.34155,1.3398825,1.340165,0.004050000000000109
2026-01-12 03:30:00,1.34358,1.34358,1.34293,1.343,534,9,0,1.36814,1.36805,8.999999999992347e-05,1.3414312127484354,1.341278991125463,72.2347629796835,0.0008823733768825726,0.0008646575039951573,0.0005764285714285888,0.0005800000000000249,0.0,7.00000000000145e-05,1.3434849999999998,1.34155,1.3398725,1.340165,0.0036599999999999966
2026-01-12 03:35:00,1.343,1.3431600000000001,1.34283,1.343,360,9,0,1.36814,1.36805,8.999999999992347e-05,1.341492733817124,1.3412961155918763,69.92665036674768,0.0008148229123339235,0.0008546905856629105,0.0005664285714286026,0.0,0.00016000000000016001,0.00017000000000000348,1.34344,1.34155,1.3397999999999999,1.340165,0.0036799999999999056
2026-01-12 03:40:00,1.343,1.34313,1.34274,1.34276,284,9,0,1.36814,1.36805,8.999999999992347e-05,1.3415424305301782,1.3413106816058875,56.891495601172316,0.0007334677288577396,0.0008304460143018763,0.0005178571428571731,0.00024000000000001798,0.00012999999999996348,1.999999999990898e-05,1.3433950000000001,1.34155,1.3397999999999999,1.340165,0.0033199999999999896
2026-01-12 03:45:00,1.34275,1.34287,1.34267,1.3428200000000001,229,9,0,1.36814,1.36805,8.999999999992347e-05,1.3415925312937005,1.3413256996993614,43.243243243246944,0.0006661556309335293,0.000797587937628207,0.0004650000000000328,7.00000000000145e-05,4.999999999988347e-05,8.000000000008001e-05,1.34336,1.34155,1.33979,1.340165,0.0034200000000002007
2026-01-12 03:50:00,1.3428200000000001,1.3429,1.34263,1.34272,317,9,0,1.36814,1.36805,8.999999999992347e-05,1.3416367457527711,1.3413395733341935,42.26415094339723,0.00059784950713615,0.0007576402515297955,0.00044357142857146377,0.00010000000000021103,7.999999999985796e-05,8.999999999992347e-05,1.34334,1.34155,1.3397275,1.340165,0.0034199999999999786
2026-01-12 03:55:00,1.34272,1.34289,1.34268,1.3427,294,9,0,1.36814,1.36805,8.999999999992347e-05,1.3416784419977605,1.341353109917933,39.688715953310584,0.0005359247718861315,0.0007132971556010627,0.0004271428571428799,1.999999999990898e-05,0.00017000000000000348,1.999999999990898e-05,1.34334,1.34155,1.3396774999999999,1.34015,0.0033799999999999386
2026-01-12 04:00:00,1.34269,1.34315,1.3425799999999999,1.3431199999999999,321,9,0,1.36814,1.36805,8.999999999992347e-05,1.3417349736841229,1.3413706909137746,46.36678200692002,0.0005148051101158124,0.0006735987465040128,0.00043642857142859155,0.00042999999999993044,3.0000000000196536e-05,0.0001100000000000545,1.343315,1.34155,1.339675,1.34008,0.003809999999999869
2026-01-12 04:05:00,1.34313,1.34334,1.34291,1.34293,270,9,0,1.36814,1.36805,8.999999999992347e-05,1.3417818374612163,1.3413862064270705,41.610738255030704,0.0004772349465052006,0.0006343259865042503,0.0004457142857142874,0.00019999999999997797,0.00021000000000004349,1.999999999990898e-05,1.3432499999999998,1.34155,1.339635,1.34008,0.0036000000000000476
2026-01-12 04:10:00,1.34293,1.34302,1.34271,1.34293,314,9,0,1.36814,1.36805,8.999999999992347e-05,1.3418268634431294,1.3414015675571496,45.421245421243725,0.00044236105824602134,0.0005959330008526045,0.00042714285714286405,0.0,9.000000000014552e-05,0.00021999999999988695,1.34308,1.3416350000000001,1.3395325,1.34001,0.00370999999999988
